Lg,From,G,L,To,Plyfs,W,Div,Yrs,Champ,Conf,W/L%,Franchise
NBA,1950,5278,2646,2016,44,2632,11,67,1,0,.499,Atlanta Hawks
NBA,1969,3860,1926,2016,31,1934,5,48,0,0,.501,Atlanta Hawks
NBA,1956,1005,452,1968,12,553,6,13,1,0,.550,St. Louis Hawks
NBA,1952,281,190,1955,0,91,0,4,0,0,.324,Milwaukee Hawks
NBA,1950,132,78,1951,1,54,0,2,0,0,.409,Tri-Cities Blackhawks
NBA/BAA,1947,5449,2245,2016,52,3204,30,70,17,9,.588,Boston Celtics
NBA/ABA,1968,3947,2220,2016,26,1727,5,49,2,2,.438,Brooklyn Nets
NBA,2013,299,154,2016,3,145,0,4,NA,NA,.485,Brooklyn Nets
NBA,1978,2822,1636,2012,16,1186,4,35,0,2,.420,New Jersey Nets
NBA,1977,82,60,1977,0,22,0,1,0,0,.268,New York Nets
ABA,1969,666,328,1976,7,338,1,8,2,0,.508,New York Nets
ABA,1968,78,42,1968,0,36,0,1,0,0,.462,New Jersey Americans
NBA,1989,2054,1160,2016,9,894,0,26,0,0,.435,Charlotte Hornets
NBA,2015,134,75,2016,NA,59,0,2,NA,NA,.440,Charlotte Hornets
NBA,2005,804,511,2014,2,293,0,10,0,0,.364,Charlotte Bobcats
NBA,1989,1116,574,2002,7,542,0,14,0,0,.486,Charlotte Hornets
NBA,1967,4020,1920,2016,34,2100,9,50,6,6,.522,Chicago Bulls
NBA,1971,3693,1985,2016,19,1708,4,46,0,2,.462,Cleveland Cavaliers
NBA,1981,2876,1407,2016,20,1469,3,36,1,2,.511,Dallas Mavericks
NBA/ABA,1968,3947,1983,2016,33,1964,10,49,0,0,.498,Denver Nuggets
NBA,1977,3203,1652,2016,24,1551,7,40,0,0,.484,Denver Nuggets
ABA,1975,168,43,1976,2,125,2,2,0,0,.744,Denver Nuggets
ABA,1968,576,288,1974,7,288,1,7,0,0,.500,Denver Rockets
NBA/BAA,1949,5339,2740,2016,40,2599,11,68,3,5,.487,Detroit Pistons
NBA,1958,4720,2434,2016,32,2286,9,59,3,5,.484,Detroit Pistons
NBA/BAA,1949,619,306,1957,8,313,2,9,0,0,.506,Fort Wayne Pistons
NBA/BAA,1947,5442,2879,2016,31,2563,8,70,4,2,.471,Golden State Warriors
NBA,1972,3610,1935,2016,14,1675,3,45,2,2,.464,Golden State Warriors
NBA,1963,729,399,1971,5,330,2,9,0,0,.453,San Francisco Warriors
NBA/BAA,1947,1103,545,1962,12,558,3,16,2,0,.506,Philadelphia Warriors
NBA,1968,3941,1903,2016,29,2038,5,49,2,4,.517,Houston Rockets
NBA,1972,3613,1694,2016,28,1919,5,45,2,4,.531,Houston Rockets
NBA,1968,328,209,1971,1,119,0,4,0,0,.363,San Diego Rockets
NBA/ABA,1968,3945,1929,2016,31,2016,9,49,3,1,.511,Indiana Pacers
NBA,1977,3201,1612,2016,22,1589,6,40,0,1,.496,Indiana Pacers
ABA,1968,744,317,1976,9,427,3,9,3,0,.574,Indiana Pacers
NBA,1971,3694,2243,2016,11,1451,2,46,0,0,.393,Los Angeles Clippers
NBA,1985,2546,1540,2016,8,1006,2,32,0,0,.395,Los Angeles Clippers
NBA,1979,492,306,1984,0,186,0,6,0,0,.378,San Diego Clippers
NBA,1971,656,397,1978,3,259,0,8,0,0,.395,Buffalo Braves
NBA/BAA,1949,5341,2112,2016,60,3229,32,68,16,18,.605,Los Angeles Lakers
NBA,1961,4502,1730,2016,49,2772,28,56,11,18,.616,Los Angeles Lakers
NBA/BAA,1949,839,382,1960,11,457,4,12,5,0,.545,Minneapolis Lakers
NBA,1996,1644,962,2016,8,682,0,21,0,0,.415,Memphis Grizzlies
NBA,2002,1184,603,2016,8,581,0,15,0,0,.491,Memphis Grizzlies
NBA,1996,460,359,2001,0,101,0,6,0,0,.220,Vancouver Grizzlies
NBA,1989,2218,1067,2016,18,1151,11,28,3,5,.519,Miami Heat
NBA,1969,3858,1888,2016,28,1970,13,48,1,2,.511,Milwaukee Bucks
NBA,1990,2137,1303,2016,8,834,1,27,0,0,.390,Minnesota Timberwolves
NBA,2003,1101,584,2016,6,517,1,14,0,0,.470,New Orleans Pelicans
NBA,2014,215,117,2016,1,98,0,3,NA,NA,.456,New Orleans Pelicans
NBA,2006,164,87,2007,0,77,0,2,0,0,.470,New Orleans/Oklahoma City Hornets
NBA,2003,722,380,2013,5,342,1,9,0,0,.474,New Orleans Hornets
NBA/BAA,1947,5447,2755,2016,42,2692,8,70,2,4,.494,New York Knicks
NBA,1968,3941,1818,2016,27,2123,10,49,1,4,.539,Oklahoma City Thunder
NBA,2009,611,233,2016,5,378,4,8,0,1,.619,Oklahoma City Thunder
NBA,1968,3330,1585,2008,22,1745,6,41,1,3,.524,Seattle SuperSonics
NBA,1990,2135,1085,2016,14,1050,5,27,0,2,.492,Orlando Magic
NBA,1950,5274,2550,2016,47,2724,11,67,3,5,.516,Philadelphia 76ers
NBA,1964,4261,2113,2016,33,2148,8,53,2,5,.504,Philadelphia 76ers
NBA,1950,1013,437,1963,14,576,3,14,1,0,.569,Syracuse Nationals
NBA,1969,3859,1746,2016,29,2113,6,48,0,2,.548,Phoenix Suns
NBA,1971,3695,1722,2016,31,1973,5,46,1,3,.534,Portland Trail Blazers
NBA/BAA,1949,5339,2887,2016,29,2452,5,68,1,0,.459,Sacramento Kings
NBA,1986,2464,1418,2016,10,1046,2,31,0,0,.425,Sacramento Kings
NBA,1976,820,439,1985,4,381,1,10,0,0,.465,Kansas City Kings
NBA,1973,246,133,1975,1,113,0,3,0,0,.459,Kansas City-Omaha Kings
NBA,1958,1189,634,1972,7,555,0,15,0,0,.467,Cincinnati Royals
NBA/BAA,1949,620,263,1957,7,357,2,9,1,0,.576,Rochester Royals
NBA/ABA,1968,3945,1585,2016,43,2360,20,49,5,6,.598,San Antonio Spurs
NBA,1977,3201,1219,2016,35,1982,20,40,5,6,.619,San Antonio Spurs
ABA,1974,252,106,1976,3,146,0,3,0,0,.579,San Antonio Spurs
ABA,1971,84,54,1971,1,30,0,1,0,0,.357,Texas Chaparrals
ABA,1968,408,206,1973,4,202,0,5,0,0,.495,Dallas Chaparrals
NBA,1996,1643,930,2016,7,713,3,21,0,0,.434,Toronto Raptors
NBA,1975,3364,1564,2016,25,1800,8,42,0,2,.535,Utah Jazz
NBA,1980,2954,1315,2016,25,1639,8,37,0,2,.555,Utah Jazz
NBA,1975,410,249,1979,0,161,0,5,0,0,.393,New Orleans Jazz
NBA,1962,4418,2433,2016,27,1985,7,55,1,4,.449,Washington Wizards
NBA,1998,1477,870,2016,6,607,0,19,0,0,.411,Washington Wizards
NBA,1975,1886,999,1997,13,887,2,23,1,3,.470,Washington Bullets
NBA,1974,82,35,1974,1,47,1,1,0,0,.573,Capital Bullets
NBA,1964,813,412,1973,7,401,4,10,0,1,.493,Baltimore Bullets
NBA,1963,80,55,1963,0,25,0,1,0,0,.313,Chicago Zephyrs
NBA,1962,80,62,1962,0,18,0,1,0,0,.225,Chicago Packers
